#k-distance eigenvalue[eV]
0.00000000 -43.55043105
0.03948537 -43.55053105
0.07897070 -43.55093105
0.11845607 -43.55163105
0.15794144 -43.55253105
0.19742677 -43.55363105
0.23691214 -43.55503105
0.27639751 -43.55653105
0.31588284 -43.55833105
0.35536821 -43.56023105
0.39485358 -43.56233105
0.43433892 -43.56453105
0.47382429 -43.56683105
0.51330966 -43.56923105
0.55279499 -43.57183105
0.59228036 -43.57443105
0.63176573 -43.57693105
0.67125106 -43.57953105
0.71073643 -43.58203105
0.75022180 -43.58463105
0.78970713 -43.58703105
0.82919250 -43.58933105
0.86867787 -43.59173105
0.90816320 -43.59383105
0.94764857 -43.59583105
0.98713394 -43.59763105
1.02661927 -43.59933105
1.06610464 -43.60663105
1.10559001 -43.61503105
1.14507534 -43.62253105
1.18456071 -43.62893105
1.22404608 -43.63423105
1.26353141 -43.63813105
1.30301678 -43.64093105
1.34250215 -43.64233105
1.38198749 -43.64253105
1.42147286 -43.64153105
1.46095823 -43.63923105
1.50044356 -43.63623105
1.53992893 -43.63253105
1.57941430 -43.62843105
1.61889963 -43.62393105
1.65838500 -43.61943105
1.69787037 -43.61513105
1.73735570 -43.61123105
1.77684107 -43.60803105
1.81632644 -43.60553105
1.85581177 -43.60423105
1.89529714 -43.60373105
1.89529714 -43.60373105
1.92753681 -43.60413105
1.95977645 -43.60513105
1.99201612 -43.60673105
2.02425579 -43.60913105
2.05649543 -43.61203105
2.08873510 -43.61553105
2.12097477 -43.61953105
2.15321440 -43.62393105
2.18545407 -43.62863105
2.21769374 -43.63353105
2.24993338 -43.63863105
2.28217305 -43.64373105
2.31441272 -43.64883105
2.34665236 -43.65383105
2.37889203 -43.65873105
2.41113170 -43.66333105
2.44337134 -43.66753105
2.47561100 -43.67153105
2.50785067 -43.67503105
2.54009031 -43.67813105
2.57232998 -43.68063105
2.60456965 -43.68263105
2.63680929 -43.68413105
2.66904896 -43.68523105
2.70128863 -43.68573105
2.73352827 -43.68563105
2.76576794 -43.68503105
2.79800761 -43.68393105
2.83024724 -43.68233105
2.86248691 -43.68033105
2.89472658 -43.67793105
2.92696622 -43.67513105
2.95920589 -43.67213105
2.99144556 -43.66893105
3.02368520 -43.66543105
3.05592487 -43.66193105
3.08816454 -43.65833105
3.12040418 -43.65483105
3.15264385 -43.65133105
3.18488351 -43.64803105
3.21712315 -43.64493105
3.24936282 -43.64213105
3.28160249 -43.63963105
3.31384213 -43.63753105
3.34608180 -43.63583105
3.37832147 -43.63453105
3.41056111 -43.63383105
3.44280078 -43.63363105
3.44280078 -43.63363105
3.46559767 -43.63353105
3.48839453 -43.63323105
3.51119142 -43.63283105
3.53398831 -43.63223105
3.55678518 -43.63153105
3.57958207 -43.63063105
3.60237896 -43.62963105
3.62517582 -43.62843105
3.64797271 -43.62703105
3.67076960 -43.62553105
3.69356647 -43.62393105
3.71636336 -43.62213105
3.73916024 -43.62023105
3.76195711 -43.61823105
3.78475400 -43.61613105
3.80755089 -43.61393105
3.83034776 -43.61153105
