#k-distance eigenvalue[eV]
0.00000000 -43.55177435
0.18237505 -43.55777435
0.36475011 -43.57367435
0.54712516 -43.59477435
0.72950020 -43.61547435
0.91187527 -43.62997435
1.09425031 -43.63517435
2.02418427 -43.56497435
2.20655934 -43.58177435
2.38893438 -43.60307435
2.57130943 -43.62357435
2.75368450 -43.63787435
2.93605954 -43.64307435
3.68801114 -43.60107435
3.87038619 -43.62457435
4.05276123 -43.64557435
4.23513630 -43.65967435
4.41751135 -43.66447435
4.99423190 -43.65107435
5.17660694 -43.67477435
5.35898201 -43.68947435
5.54135705 -43.69397435
5.94916007 -43.70187435
6.13153514 -43.71907435
6.31391018 -43.72367435
6.57182746 -43.73967435
6.75420251 -43.74557435
6.93657755 -43.75347435
8.23899595 -43.55967435
8.42137101 -43.58217435
8.60374606 -43.60687435
8.78612110 -43.62897435
8.96849617 -43.64417435
9.15087122 -43.64957435
9.90282282 -43.59517435
10.08519786 -43.62057435
10.26757291 -43.64507435
10.44994797 -43.66187435
10.63232302 -43.66767435
11.20904357 -43.64407435
11.39141862 -43.66907435
11.57379368 -43.68657435
11.75616873 -43.69277435
12.16397175 -43.69397435
12.34634681 -43.71207435
12.52872186 -43.71847435
12.78663914 -43.73087435
12.96901418 -43.73737435
13.15138923 -43.74447435
14.19905413 -43.57837435
14.38142918 -43.61407435
14.56380422 -43.64647435
14.74617929 -43.66877435
14.92855434 -43.67657435
15.50527489 -43.62467435
15.68764993 -43.65457435
15.87002500 -43.68017435
16.05240004 -43.68987435
16.46020306 -43.67167435
16.64257813 -43.69367435
16.82495317 -43.70397435
17.08287045 -43.70637435
17.26524550 -43.71497435
17.44762054 -43.71907435
18.24257496 -43.59717435
18.42495001 -43.64087435
18.60732508 -43.67437435
18.78970012 -43.68667435
19.19750314 -43.63987435
19.37987821 -43.67177435
19.56225325 -43.68437435
19.82017053 -43.67167435
20.00254558 -43.68337435
20.18492062 -43.68317435
20.73204579 -43.63957435
20.91442085 -43.65507435
21.09679590 -43.66467435
21.35471318 -43.64737435
21.53708822 -43.65037435
21.71946327 -43.64517435
22.03534612 -43.62987435
22.21772117 -43.62547435
22.40009621 -43.61617435
22.58247126 -43.60537435

0.00000000 -43.55177435
0.18237505 -43.54677435
0.36475011 -43.53257435
0.54712516 -43.51287435
0.72950020 -43.49257435
0.91187527 -43.47727435
1.09425031 -43.47157435
2.02418427 -43.54187435
2.20655934 -43.53117435
2.38893438 -43.51777435
2.57130943 -43.50517435
2.75368450 -43.49647435
