#k-distance eigenvalue[eV]
2.31793865 -11.95857310
2.31793865 -11.95857310
2.35328964 -12.11147310
2.38864069 -12.29687310
2.42399169 -12.50317310
2.45934268 -12.72327310
2.49469373 -12.95197310
2.53004472 -13.18547310
2.56539577 -13.42137310
2.60074677 -13.65757310
2.63609781 -13.89257310
2.67144881 -14.12567310
2.70679985 -14.35577310
2.74215085 -14.58237310
2.77750184 -14.80497310
2.81285289 -15.02327310
2.84820389 -15.23677310
2.88355493 -15.44527310
2.91890593 -15.64857310
2.95425697 -15.84657310
2.98960797 -16.03887310
3.02495902 -16.22547310
3.06031001 -16.40627310
3.09566101 -16.58117310
3.13101205 -16.74997310
3.16636305 -16.91257310
3.20171409 -17.06907310
3.23706509 -17.21917310
3.27241614 -17.36307310
3.30776713 -17.50047310
3.34311818 -17.63137310
3.37846917 -17.75587310
3.41382017 -17.87387310
3.44917122 -17.98527310
3.48452221 -18.09007310
3.51987326 -18.18817310
3.55522425 -18.27967310
3.59057530 -18.36447310
3.62592629 -18.44247310
3.66127734 -18.51387310
3.69662834 -18.57847310
3.73197933 -18.63627310
3.76733038 -18.68737310
3.80268137 -18.73167310
3.83803242 -18.76917310
3.87338342 -18.79977310
3.90873446 -18.82367310
3.94408546 -18.84067310
3.97943650 -18.85087310
4.01478750 -18.85437310

0.00000000 -7.15897310
0.03061489 -7.15587310
0.06122975 -7.14657310
0.09184464 -7.13117310
0.12245953 -7.10967310
0.15307439 -7.08197310
0.18368928 -7.04807310
0.21430417 -7.00817310
0.24491903 -6.96207310
0.27553392 -6.90987310
0.30614881 -6.85167310
0.33676367 -6.78737310
0.36737856 -6.71707310
0.39799345 -6.64077310
0.42860831 -6.55857310
0.45922320 -6.47047310
0.48983808 -6.37647310
0.52045294 -6.27657310
0.55106783 -6.17097310
0.58168272 -6.05967310
0.61229758 -5.94277310
0.64291247 -5.98207310
0.67352736 -6.25097310
0.70414222 -6.52227310
0.73475711 -6.79557310
0.76537200 -7.07027310
0.79598686 -7.34597310
0.82660175 -7.62217310
0.85721664 -7.89847310
0.88783150 -8.17447310
0.91844639 -8.44977310
0.94906128 -8.72407310
0.97967614 -8.99707310
1.01029103 -9.26847310
1.04090592 -9.53777310
1.07152078 -9.80487310
1.10213567 -10.06947310
1.13275056 -10.33107310
1.16336542 -10.58937310
1.19398031 -10.84397310
1.22459520 -11.09427310
1.25521006 -11.33947310
1.28582495 -11.57857310
1.31643984 -11.80977310
1.34705470 -12.03017310
1.37766959 -12.23417310
1.40828447 -12.41097310
1.43889933 -12.53967310
1.46951422 -12.58857310
1.46951422 -12.58857310
1.48718972 -12.58787310
1.50486525 -12.58567310
1.52254074 -12.58207310
1.54021627 -12.57697310
1.55789176 -12.57047310
1.57556729 -12.56257310
1.59324278 -12.55317310
1.61091831 -12.54237310
1.62859381 -12.53027310
1.64626930 -12.51667310
1.66394483 -12.50167310
1.68162032 -12.48537310
1.69929585 -12.46767310
1.71697135 -12.44867310
1.73464687 -12.42827310
1.75232237 -12.40667310
1.76999789 -12.38377310
1.78767339 -12.35967310
1.80534888 -12.33447310
1.82302441 -12.30807310
1.84069991 -12.28047310
1.85837543 -12.25197310
1.87605093 -12.22237310
1.89372645 -12.19197310
1.91140195 -12.16067310
1.92907747 -12.12867310
1.94675297 -12.09607310
1.96442847 -12.06297310
1.98210399 -12.02957310
1.99977949 -11.99607310
2.01745501 -11.96267310
2.03513051 -11.92957310
2.05280603 -11.89717310
2.07048153 -11.86587310
2.08815705 -11.83607310
2.10583255 -11.80827310
2.12350805 -11.78327310
2.14118357 -11.76167310
2.15885907 -11.74447310
2.17653459 -11.73277310
2.19421009 -11.72757310
2.21188561 -11.73017310
2.22956111 -11.74247310
2.24723663 -11.76477310
2.26491213 -11.79767310
2.28258763 -11.84167310
2.30026315 -11.89647310
2.31793865 -11.95857310
2.31793865 -11.95857310
2.35328964 -11.81957310
2.38864069 -11.67197310
2.42399169 -11.51867310
2.45934268 -11.35987310
2.49469373 -11.19557310
2.53004472 -11.02587310
2.56539577 -10.85067310
2.60074677 -10.67027310
2.63609781 -10.48447310
2.67144881 -10.29337310
2.70679985 -10.09727310
2.74215085 -9.89607310
2.77750184 -9.68987310
2.81285289 -9.47877310
2.84820389 -9.26287310
2.88355493 -9.04237310
2.91890593 -8.81747310
2.95425697 -8.58827310
2.98960797 -8.35487310
3.02495902 -8.11747310
3.06031001 -7.87637310
3.09566101 -7.63187310
3.13101205 -7.38407310
3.16636305 -7.13347310
3.20171409 -6.88027310
3.23706509 -6.62497310
3.27241614 -6.36817310
3.30776713 -6.11007310
3.34311818 -5.85147310
3.37846917 -5.84627310
3.41382017 -5.98617310
3.44917122 -6.11847310
3.48452221 -6.24307310
3.51987326 -6.36007310
3.55522425 -6.46927310
3.59057530 -6.57067310
3.62592629 -6.66417310
3.66127734 -6.74967310
3.69662834 -6.82717310
3.73197933 -6.89657310
3.76733038 -6.95797310
3.80268137 -7.01117310
3.83803242 -7.05627310
3.87338342 -7.09317310
3.90873446 -7.12197310
3.94408546 -7.14247310
3.97943650 -7.15487310
4.01478750 -7.15897310

0.00000000 -6.78187310
0.03061489 -6.77887310
0.06122975 -6.76977310
0.09184464 -6.75457310
0.12245953 -6.73347310
0.15307439 -6.70617310
0.18368928 -6.67297310
0.21430417 -6.63367310
0.24491903 -6.58847310
0.27553392 -6.53717310
0.30614881 -6.48007310
0.33676367 -6.41687310
0.36737856 -6.34787310
0.39799345 -6.27307310
0.42860831 -6.19237310
0.45922320 -6.10587310
0.48983808 -6.01367310
0.52045294 -5.91577310
0.55106783 -5.81227310
0.58168272 -5.70317310
0.61229758 -5.71627310
0.64291247 -5.97727310
0.67352736 -6.24577310
0.70414222 -6.51687310
0.73475711 -6.78977310
0.76537200 -7.06427310
0.79598686 -7.33957310
0.82660175 -7.61547310
0.85721664 -7.89137310
0.88783150 -8.16707310
0.91844639 -8.44197310
0.94906128 -8.71597310
0.97967614 -8.98867310
1.01029103 -9.25967310
1.04090592 -9.52867310
1.07152078 -9.79557310
1.10213567 -10.05967310
1.13275056 -10.32097310
1.16336542 -10.57897310
1.19398031 -10.83327310
1.22459520 -11.08327310
1.25521006 -11.32827310
1.28582495 -11.56717310
1.31643984 -11.79827310
1.34705470 -12.01867310
1.37766959 -12.22307310
1.40828447 -12.40107310
1.43889933 -12.53167310
1.46951422 -12.58217310
1.46951422 -12.58217310
1.48718972 -12.58147310
1.50486525 -12.57927310
1.52254074 -12.57567310
1.54021627 -12.57057310
1.55789176 -12.56407310
1.57556729 -12.55617310
1.59324278 -12.54687310
1.61091831 -12.53607310
1.62859381 -12.52387310
1.64626930 -12.51037310
1.66394483 -12.49537310
1.68162032 -12.47907310
1.69929585 -12.46147310
1.71697135 -12.44247310
1.73464687 -12.42217310
1.75232237 -12.40057310
1.76999789 -12.37777310
1.78767339 -12.35367310
1.80534888 -12.32847310
1.82302441 -12.30207310
1.84069991 -12.27457310
1.85837543 -12.24607310
1.87605093 -12.21657310
1.89372645 -12.18627310
1.91140195 -12.15507310
1.92907747 -12.12317310
1.94675297 -12.09067310
1.96442847 -12.05777310
1.98210399 -12.02447310
1.99977949 -11.99117310
2.01745501 -11.95787310
2.03513051 -11.92497310
2.05280603 -11.89287310
2.07048153 -11.86177310
2.08815705 -11.83227310
2.10583255 -11.80487310
2.12350805 -11.78017310
2.14118357 -11.75907310
2.15885907 -11.74247310
2.17653459 -11.73137310
2.19421009 -11.72687310
2.21188561 -11.72997310
2.22956111 -11.74137310
2.24723663 -11.76267310
2.26491213 -11.79457310
2.28258763 -11.83747310
2.30026315 -11.89117310
2.31793865 -11.95237310
2.31793865 -11.95237310
2.35328964 -11.81347310
2.38864069 -11.66597310
2.42399169 -11.51277310
2.45934268 -11.35417310
2.49469373 -11.18997310
2.53004472 -11.02037310
2.56539577 -10.84527310
2.60074677 -10.66507310
2.63609781 -10.47937310
2.67144881 -10.28847310
2.70679985 -10.09247310
2.74215085 -9.89137310
2.77750184 -9.68527310
2.81285289 -9.47437310
2.84820389 -9.25867310
2.88355493 -9.03837310
2.91890593 -8.81357310
2.95425697 -8.58447310
2.98960797 -8.35117310
3.02495902 -8.11397310
3.06031001 -7.87297310
3.09566101 -7.62857310
3.13101205 -7.38097310
3.16636305 -7.13047310
3.20171409 -6.87737310
3.23706509 -6.62227310
3.27241614 -6.36547310
3.30776713 -6.10757310
3.34311818 -5.84907310
3.37846917 -5.59297310
3.41382017 -5.63097310
3.44917122 -5.76067310
3.48452221 -5.88287310
3.51987326 -5.99767310
3.55522425 -6.10477310
3.59057530 -6.20417310
3.62592629 -6.29597310
3.66127734 -6.37987310
3.69662834 -6.45597310
3.73197933 -6.52417310
3.76733038 -6.58437310
3.80268137 -6.63667310
3.83803242 -6.68097310
3.87338342 -6.71727310
3.90873446 -6.74547310
3.94408546 -6.76567310
3.97943650 -6.77787310
4.01478750 -6.78187310

0.00000000 -2.40897310
0.03061489 -2.41967310
0.06122975 -2.45177310
0.09184464 -2.50477310
0.12245953 -2.57827310
0.15307439 -2.67147310
0.18368928 -2.78357310
0.21430417 -2.91347310
0.24491903 -3.06017310
0.27553392 -3.22247310
0.30614881 -3.39917310
0.33676367 -3.58907310
0.36737856 -3.79117310
0.39799345 -4.00417310
0.42860831 -4.22697310
0.45922320 -4.45867310
0.48983808 -4.69807310
0.52045294 -4.94437310
0.55106783 -5.19677310
0.58168272 -5.45427310
0.61229758 -5.71177310
0.64291247 -5.82027310
0.67352736 -5.69227310
0.70414222 -5.55897310
0.73475711 -5.42037310
0.76537200 -5.27667310
0.79598686 -5.12787310
0.82660175 -4.97437310
0.85721664 -4.81617310
0.88783150 -4.89637310
0.91844639 -4.98287310
0.94906128 -5.06557310
0.97967614 -5.14427310
1.01029103 -5.21887310
1.04090592 -5.28917310
1.07152078 -5.35507310
1.10213567 -5.41647310
1.13275056 -5.47327310
1.16336542 -5.52547310
1.19398031 -5.57287310
1.22459520 -5.61547310
1.25521006 -5.65317310
1.28582495 -5.68597310
1.31643984 -5.71377310
1.34705470 -5.73657310
1.37766959 -5.75437310
1.40828447 -5.76707310
1.43889933 -5.77467310
1.46951422 -5.77727310
1.46951422 -5.77727310
1.48718972 -5.78107310
1.50486525 -5.79267310
1.52254074 -5.81197310
1.54021627 -5.83887310
1.55789176 -5.87317310
1.57556729 -5.91467310
1.59324278 -5.96327310
1.61091831 -6.01877310
1.62859381 -6.08077310
1.64626930 -6.14917310
1.66394483 -6.22347310
1.68162032 -6.30357310
1.69929585 -6.38897310
1.71697135 -6.47947310
1.73464687 -6.57467310
1.75232237 -6.67437310
1.76999789 -6.77807310
1.78767339 -6.88557310
1.80534888 -6.99647310
1.82302441 -7.11047310
1.84069991 -7.22727310
1.85837543 -7.34657310
1.87605093 -7.46807310
1.89372645 -7.59137310
1.91140195 -7.71627310
1.92907747 -7.84237310
1.94675297 -7.96937310
1.96442847 -8.09697310
1.98210399 -8.22487310
1.99977949 -8.35257310
2.01745501 -8.47977310
2.03513051 -8.60607310
2.05280603 -8.73107310
2.07048153 -8.85407310
2.08815705 -8.97467310
2.10583255 -9.09207310
2.12350805 -9.20547310
2.14118357 -9.31407310
2.15885907 -9.41697310
2.17653459 -9.51287310
2.19421009 -9.60067310
2.21188561 -9.67897310
2.22956111 -9.74667310
2.24723663 -9.80267310
2.26491213 -9.84617310
2.28258763 -9.87677310
2.30026315 -9.89467310
2.31793865 -9.90017310
2.31793865 -9.90017310
2.35328964 -9.87907310
2.38864069 -9.82027310
2.42399169 -9.73197310
2.45934268 -9.62107310
2.49469373 -9.49267310
2.53004472 -9.35037310
2.56539577 -9.19657310
2.60074677 -9.03337310
2.63609781 -8.86197310
2.67144881 -8.68337310
2.70679985 -8.49867310
2.74215085 -8.30837310
2.77750184 -8.11307310
2.81285289 -7.91327310
2.84820389 -7.70957310
2.88355493 -7.50247310
2.91890593 -7.29227310
2.95425697 -7.07957310
2.98960797 -6.86477310
3.02495902 -6.64827310
3.06031001 -6.43067310
3.09566101 -6.21237310
3.13101205 -5.99387310
3.16636305 -5.77587310
3.20171409 -5.55877310
3.23706509 -5.34317310
3.27241614 -5.38277310
3.30776713 -5.54447310
3.34311818 -5.69907310
3.37846917 -5.59077310
3.41382017 -5.33537310
3.44917122 -5.07947310
3.48452221 -4.82617310
3.51987326 -4.57667310
3.55522425 -4.33207310
3.59057530 -4.09387310
3.62592629 -3.86347310
3.66127734 -3.64267310
3.69662834 -3.43327310
3.73197933 -3.23737310
3.76733038 -3.05697310
3.80268137 -2.89437310
3.83803242 -2.75187310
3.87338342 -2.63167310
3.90873446 -2.53567310
3.94408546 -2.46577310
3.97943650 -2.42327310
4.01478750 -2.40897310

0.00000000 -2.40897310
0.03061489 -2.41907310
0.06122975 -2.45107310
0.09184464 -2.50397310
0.12245953 -2.57737310
0.15307439 -2.67047310
0.18368928 -2.78237310
0.21430417 -2.91217310
0.24491903 -3.05867310
0.27553392 -3.22077310
0.30614881 -3.39727310
0.33676367 -3.58707310
0.36737856 -3.78887310
0.39799345 -4.00157310
0.42860831 -4.22417310
0.45922320 -4.45557310
0.48983808 -4.69477310
0.52045294 -4.94077310
0.55106783 -5.19287310
0.58168272 -5.45007310
0.61229758 -5.58867310
0.64291247 -5.46867310
0.67352736 -5.34347310
0.70414222 -5.21307310
0.73475711 -5.07757310
0.76537200 -4.93717310
0.79598686 -4.79187310
0.82660175 -4.71257310
0.85721664 -4.80627310
0.88783150 -4.89417310
0.91844639 -4.98057310
0.94906128 -5.06327310
0.97967614 -5.14197310
1.01029103 -5.21647310
1.04090592 -5.28677310
1.07152078 -5.35267310
1.10213567 -5.41407310
1.13275056 -5.47087310
1.16336542 -5.52307310
1.19398031 -5.57047310
1.22459520 -5.61307310
1.25521006 -5.65077310
1.28582495 -5.68347310
1.31643984 -5.71127310
1.34705470 -5.73407310
1.37766959 -5.75187310
1.40828447 -5.76457310
1.43889933 -5.77227310
1.46951422 -5.77477310
1.46951422 -5.77477310
1.48718972 -5.77867310
1.50486525 -5.79027310
1.52254074 -5.80947310
1.54021627 -5.83627310
1.55789176 -5.87047310
1.57556729 -5.91197310
1.59324278 -5.96047310
1.61091831 -6.01577310
1.62859381 -6.07767310
1.64626930 -6.14587310
1.66394483 -6.22007310
1.68162032 -6.29997310
1.69929585 -6.38527310
1.71697135 -6.47567310
1.73464687 -6.57067310
1.75232237 -6.67017310
1.76999789 -6.77377310
1.78767339 -6.88107310
1.80534888 -6.99177310
1.82302441 -7.10567310
1.84069991 -7.22227310
1.85837543 -7.34147310
1.87605093 -7.46277310
1.89372645 -7.58587310
1.91140195 -7.71057310
1.92907747 -7.83647310
1.94675297 -7.96337310
1.96442847 -8.09087310
1.98210399 -8.21857310
1.99977949 -8.34627310
2.01745501 -8.47337310
2.03513051 -8.59967310
2.05280603 -8.72457310
2.07048153 -8.84757310
2.08815705 -8.96807310
2.10583255 -9.08557310
2.12350805 -9.19917310
2.14118357 -9.30807310
2.15885907 -9.41117310
2.17653459 -9.50747310
2.19421009 -9.59567310
2.21188561 -9.67457310
2.22956111 -9.74287310
2.24723663 -9.79957310
2.26491213 -9.84387310
2.28258763 -9.87527310
2.30026315 -9.89387310
2.31793865 -9.90017310
2.31793865 -9.90017310
2.35328964 -9.87787310
2.38864069 -9.81807310
2.42399169 -9.72917310
2.45934268 -9.61787310
2.49469373 -9.48917310
2.53004472 -9.34667310
2.56539577 -9.19287310
2.60074677 -9.02967310
2.63609781 -8.85817310
2.67144881 -8.67967310
2.70679985 -8.49497310
2.74215085 -8.30467310
2.77750184 -8.10947310
2.81285289 -7.90987310
2.84820389 -7.70627310
2.88355493 -7.49927310
2.91890593 -7.28927310
2.95425697 -7.07657310
2.98960797 -6.86187310
3.02495902 -6.64557310
3.06031001 -6.42807310
3.09566101 -6.20987310
3.13101205 -5.99157310
3.16636305 -5.77367310
3.20171409 -5.55667310
3.23706509 -5.34117310
3.27241614 -5.12977310
3.30776713 -5.19847310
3.34311818 -5.34977310
3.37846917 -5.49397310
3.41382017 -5.33327310
3.44917122 -5.07747310
3.48452221 -4.82427310
3.51987326 -4.57487310
3.55522425 -4.33047310
3.59057530 -4.09237310
3.62592629 -3.86207310
3.66127734 -3.64137310
3.69662834 -3.43207310
3.73197933 -3.23627310
3.76733038 -3.05597310
3.80268137 -2.89347310
3.83803242 -2.75107310
3.87338342 -2.63087310
3.90873446 -2.53497310
3.94408546 -2.46507310
3.97943650 -2.42257310
4.01478750 -2.40897310

0.00000000 -2.40837310
0.03061489 -2.41467310
0.06122975 -2.43157310
0.09184464 -2.45947310
0.12245953 -2.49797310
0.15307439 -2.54657310
0.18368928 -2.60467310
0.21430417 -2.67157310
0.24491903 -2.74657310
0.27553392 -2.82867310
0.30614881 -2.91707310
0.33676367 -3.01107310
0.36737856 -3.10987310
0.39799345 -3.21247310
0.42860831 -3.31827310
0.45922320 -3.42657310
0.48983808 -3.53657310
0.52045294 -3.64767310
0.55106783 -3.75937310
0.58168272 -3.87107310
0.61229758 -3.98227310
0.64291247 -4.09247310
0.67352736 -4.20137310
0.70414222 -4.30847310
0.73475711 -4.41347310
0.76537200 -4.51597310
0.79598686 -4.61577310
0.82660175 -4.71047310
0.85721664 -4.80397310
0.88783150 -4.65347310
0.91844639 -4.48667310
0.94906128 -4.31597310
0.97967614 -4.14167310
1.01029103 -3.96427310
1.04090592 -3.78427310
1.07152078 -3.60217310
1.10213567 -3.41887310
1.13275056 -3.23497310
1.16336542 -3.05187310
1.19398031 -2.87067310
1.22459520 -2.69327310
1.25521006 -2.52167310
1.28582495 -2.35857310
1.31643984 -2.20717310
1.34705470 -2.07157310
1.37766959 -1.95657310
1.40828447 -1.86757310
1.43889933 -1.81047310
1.46951422 -1.79077310
1.46951422 -1.79077310
1.48718972 -1.78967310
1.50486525 -1.78657310
1.52254074 -1.78137310
1.54021627 -1.77407310
1.55789176 -1.76477310
1.57556729 -1.75327310
1.59324278 -1.73977310
1.61091831 -1.72417310
1.62859381 -1.70657310
1.64626930 -1.68677310
1.66394483 -1.66497310
1.68162032 -1.64107310
1.69929585 -1.61517310
1.71697135 -1.58717310
1.73464687 -1.55707310
1.75232237 -1.52487310
1.76999789 -1.49067310
1.78767339 -1.45447310
1.80534888 -1.41617310
1.82302441 -1.37577310
1.84069991 -1.33337310
1.85837543 -1.28897310
1.87605093 -1.24247310
1.89372645 -1.19387310
1.91140195 -1.14337310
1.92907747 -1.09077310
1.94675297 -1.03617310
1.96442847 -0.97957310
1.98210399 -0.92087310
1.99977949 -0.86027310
2.01745501 -0.79767310
2.03513051 -0.73297310
2.05280603 -0.66637310
2.07048153 -0.59777310
2.08815705 -0.52727310
2.10583255 -0.45467310
2.12350805 -0.38027310
2.14118357 -0.30377310
2.15885907 -0.22547310
2.17653459 -0.14517310
2.19421009 -0.06307310
2.21188561 0.02092690
2.22956111 0.10672690
2.24723663 0.19422690
2.26491213 0.28322690
2.28258763 0.37312690
2.30026315 0.46152690
2.31793865 0.52082690
2.31793865 0.52082690
2.35328964 0.35902690
2.38864069 0.14752690
2.42399169 -0.07357310
2.45934268 -0.30167310
2.49469373 -0.53537310
2.53004472 -0.77337310
2.56539577 -1.01457310
2.60074677 -1.25797310
2.63609781 -1.50257310
2.67144881 -1.74747310
2.70679985 -1.99177310
2.74215085 -2.23487310
2.77750184 -2.47597310
2.81285289 -2.71447310
2.84820389 -2.94987310
2.88355493 -3.18147310
2.91890593 -3.40907310
2.95425697 -3.63207310
2.98960797 -3.85017310
3.02495902 -4.06297310
3.06031001 -4.27027310
3.09566101 -4.47167310
3.13101205 -4.66687310
3.16636305 -4.85587310
3.20171409 -5.03827310
3.23706509 -5.21397310
3.27241614 -5.12797310
3.30776713 -4.91927310
3.34311818 -4.71217310
3.37846917 -4.50927310
3.41382017 -4.31137310
3.44917122 -4.11907310
3.48452221 -3.93317310
3.51987326 -3.75447310
3.55522425 -3.58377310
3.59057530 -3.42187310
3.62592629 -3.26947310
3.66127734 -3.12737310
3.69662834 -2.99627310
3.73197933 -2.87697310
3.76733038 -2.76997310
3.80268137 -2.67587310
3.83803242 -2.59537310
3.87338342 -2.52877310
3.90873446 -2.47657310
3.94408546 -2.43907310
3.97943650 -2.41647310
4.01478750 -2.40837310

0.00000000 -2.40837310
0.03061489 -2.41397310
0.06122975 -2.43087310
0.09184464 -2.45867310
0.12245953 -2.49717310
0.15307439 -2.54567310
0.18368928 -2.60377310
0.21430417 -2.67057310
0.24491903 -2.74537310
0.27553392 -2.82747310
0.30614881 -2.91577310
0.33676367 -3.00977310
0.36737856 -3.10837310
0.39799345 -3.21097310
0.42860831 -3.31667310
0.45922320 -3.42487310
0.48983808 -3.53487310
0.52045294 -3.64597310
0.55106783 -3.75757310
0.58168272 -3.86927310
0.61229758 -3.98037310
0.64291247 -4.09057310
0.67352736 -4.19937310
0.70414222 -4.30637310
0.73475711 -4.41137310
0.76537200 -4.51387310
0.79598686 -4.61367310
0.82660175 -4.64217310
0.85721664 -4.48797310
0.88783150 -4.32967310
0.91844639 -4.16747310
0.94906128 -4.00177310
0.97967614 -3.83297310
1.01029103 -3.66147310
1.04090592 -3.48777310
1.07152078 -3.31277310
1.10213567 -3.13717310
1.13275056 -2.96197310
1.16336542 -2.78847310
1.19398031 -2.61817310
1.22459520 -2.45307310
1.25521006 -2.29547310
1.28582495 -2.14837310
1.31643984 -2.01497310
